Age,Gender,Interest,Course
20,Female,bookkeeping,Accountancy
30,Male,numbers,Accountancy
30,Female,forensics,Criminology
23,Female,lesson planning,Education
20,Male,forensics,Criminology
20,Female,law enforcement,Criminology
16,Female,child education,Education
16,Female,business,Financial Management
25,Male,business,Financial Management
23,Male,debate,Political Science
28,Female,forensics,Criminology
20,Female,philosophy,Political Science
23,Female,debate,Political Science
23,Male,bookkeeping,Accountancy
19,Male,forensics,Criminology
29,Male,tech,BSIT
17,Male,investment,Financial Management
30,Male,data science,BSIT
28,Female,forensics,Criminology
30,Male,child education,Education
17,Male,volunteering,Social Work
26,Female,investment,Financial Management
30,Female,history,Political Science
27,Male,bookkeeping,Accountancy
16,Male,business,Financial Management
23,Male,psychology,Social Work
21,Male,community service,Social Work
24,Female,training,Human Resource Management
26,Female,community service,Social Work
25,Female,public speaking,Human Resource Management
23,Male,accounting,Accountancy
17,Female,conflict resolution,Human Resource Management
25,Female,tech,BSIT
24,Female,philosophy,Political Science
21,Female,volunteering,Social Work
17,Female,bookkeeping,Accountancy
18,Male,recruitment,Human Resource Management
25,Female,training,Human Resource Management
29,Male,philosophy,Political Science
30,Male,data science,BSIT
19,Male,conflict resolution,Human Resource Management
21,Male,gaming,BSIT
26,Male,community service,Social Work
20,Male,data science,BSIT
21,Female,law enforcement,Criminology
27,Male,psychology,Social Work
19,Male,community service,Social Work
30,Female,conflict resolution,Human Resource Management
17,Male,training,Human Resource Management
18,Female,networking,BSIT
26,Male,cybersecurity,BSIT
18,Female,volunteering,Social Work
16,Male,lesson planning,Education
28,Male,tech,BSIT
19,Male,data science,BSIT
30,Male,numbers,Accountancy
24,Male,forensics,Criminology
21,Male,community service,Social Work
20,Male,networking,BSIT
26,Female,conflict resolution,Human Resource Management
20,Male,forensics,Criminology
24,Male,child education,Education
27,Male,psychology,Social Work
17,Female,lesson planning,Education
25,Female,volunteering,Social Work
27,Female,public speaking,Human Resource Management
26,Female,debate,Political Science
21,Female,politics,Political Science
25,Male,psychology,Social Work
28,Male,recruitment,Human Resource Management
22,Male,gaming,BSIT
22,Female,accounting,Accountancy
20,Female,training,Human Resource Management
22,Male,accounting,Accountancy
24,Male,debate,Political Science
21,Male,investigation,Criminology
22,Male,tech,BSIT
16,Female,finance,Financial Management
18,Female,cybersecurity,BSIT
19,Male,philosophy,Political Science
20,Female,coding,BSIT
24,Male,data science,BSIT
17,Female,coding,BSIT
23,Female,bookkeeping,Accountancy
30,Female,politics,Political Science
18,Female,networking,BSIT
28,Female,psychology,Social Work
25,Male,finance,Financial Management
17,Female,finance,Financial Management
24,Male,cybersecurity,BSIT
26,Male,investigation,Criminology
18,Male,conflict resolution,Human Resource Management
18,Female,forensics,Criminology
18,Male,training,Human Resource Management
27,Female,networking,BSIT
24,Male,law enforcement,Criminology
23,Male,accounting,Accountancy
26,Female,investment,Financial Management
27,Male,lesson planning,Education
21,Male,history,Political Science
18,Female,networking,BSIT
28,Male,child education,Education
25,Female,conflict resolution,Human Resource Management
27,Female,gaming,BSIT
20,Female,law enforcement,Criminology
27,Female,numbers,Accountancy
28,Female,child education,Education
28,Female,data science,BSIT
20,Female,training,Human Resource Management
27,Male,community service,Social Work
28,Female,psychology,Social Work
29,Female,data science,BSIT
26,Female,accounting,Accountancy
29,Female,lesson planning,Education
18,Female,business,Financial Management
29,Male,teaching,Education
22,Male,lesson planning,Education
26,Female,networking,BSIT
16,Female,community service,Social Work
16,Male,philosophy,Political Science
28,Female,gaming,BSIT
25,Male,recruitment,Human Resource Management
19,Male,law enforcement,Criminology
29,Male,tech,BSIT
26,Female,teaching,Education
30,Male,gaming,BSIT
16,Female,lesson planning,Education
28,Male,investigation,Criminology
16,Male,data science,BSIT
17,Female,bookkeeping,Accountancy
28,Female,history,Political Science
30,Male,community service,Social Work
26,Male,philosophy,Political Science
18,Female,community service,Social Work
29,Male,investment,Financial Management
30,Male,accounting,Accountancy
22,Female,forensics,Criminology
25,Male,accounting,Accountancy
28,Female,history,Political Science
23,Female,training,Human Resource Management
22,Female,bookkeeping,Accountancy
23,Male,networking,BSIT
20,Male,child education,Education
28,Male,tech,BSIT
30,Male,child education,Education
20,Male,child education,Education
19,Female,investigation,Criminology
28,Male,teaching,Education
26,Female,gaming,BSIT
20,Female,social issues,Social Work
29,Male,investigation,Criminology
30,Female,philosophy,Political Science
21,Male,public speaking,Human Resource Management
20,Female,data science,BSIT
24,Female,gaming,BSIT
25,Male,lesson planning,Education
19,Male,volunteering,Social Work
17,Male,investment,Financial Management
30,Male,history,Political Science
30,Female,debate,Political Science
30,Female,lesson planning,Education
27,Female,psychology,Social Work
18,Female,investment,Financial Management
20,Male,debate,Political Science
29,Male,accounting,Accountancy
16,Male,finance,Financial Management
23,Female,politics,Political Science
24,Female,law enforcement,Criminology
24,Male,tech,BSIT
25,Female,bookkeeping,Accountancy
29,Male,conflict resolution,Human Resource Management
30,Female,bookkeeping,Accountancy
19,Female,lesson planning,Education
20,Female,law enforcement,Criminology
21,Male,social issues,Social Work
30,Female,conflict resolution,Human Resource Management
19,Male,coding,BSIT
21,Female,recruitment,Human Resource Management
19,Female,law enforcement,Criminology
17,Male,investment,Financial Management
30,Female,data science,BSIT
17,Female,bookkeeping,Accountancy
22,Female,philosophy,Political Science
22,Male,numbers,Accountancy
22,Male,teaching,Education
26,Male,gaming,BSIT
28,Male,investment,Financial Management
19,Female,investment,Financial Management
21,Male,child education,Education
25,Male,finance,Financial Management
26,Male,lesson planning,Education
25,Female,coding,BSIT
17,Male,volunteering,Social Work
16,Female,bookkeeping,Accountancy
29,Female,conflict resolution,Human Resource Management
22,Male,recruitment,Human Resource Management
27,Male,numbers,Accountancy
23,Female,business,Financial Management
24,Male,politics,Political Science
30,Male,investigation,Criminology
23,Female,debate,Political Science
23,Male,networking,BSIT
23,Female,history,Political Science
18,Male,gaming,BSIT
22,Male,training,Human Resource Management
28,Female,teaching,Education
20,Male,debate,Political Science
19,Female,bookkeeping,Accountancy
26,Female,debate,Political Science
19,Female,philosophy,Political Science
27,Male,recruitment,Human Resource Management
23,Male,networking,BSIT
16,Male,child education,Education
20,Male,social issues,Social Work
19,Female,public speaking,Human Resource Management
30,Female,psychology,Social Work
18,Male,finance,Financial Management
26,Female,business,Financial Management
20,Female,debate,Political Science
24,Male,gaming,BSIT
21,Female,accounting,Accountancy
22,Female,public speaking,Human Resource Management
29,Male,conflict resolution,Human Resource Management
18,Female,community service,Social Work
18,Female,investigation,Criminology
25,Female,teaching,Education
23,Female,networking,BSIT
16,Female,numbers,Accountancy
26,Female,lesson planning,Education
29,Female,community service,Social Work
18,Female,tech,BSIT
26,Male,psychology,Social Work
30,Female,bookkeeping,Accountancy
27,Female,psychology,Social Work
19,Female,coding,BSIT
18,Female,numbers,Accountancy
20,Female,history,Political Science
18,Male,community service,Social Work
23,Male,social issues,Social Work
23,Female,lesson planning,Education
25,Female,cybersecurity,BSIT
30,Male,cybersecurity,BSIT
16,Male,business,Financial Management
17,Female,coding,BSIT
28,Male,teaching,Education
25,Male,numbers,Accountancy
27,Female,public speaking,Human Resource Management
26,Female,forensics,Criminology
19,Female,cybersecurity,BSIT
